Date,Country,City,Specie,count,min,max,median,variance
2020-02-05,CO,Bogotá,wd,268,1.0,358.0,129.0,102257.00
2020-03-20,CO,Bogotá,wd,267,1.0,359.0,297.0,96569.70
2020-01-20,CO,Bogotá,wd,250,1.0,357.0,144.0,92975.90
2020-01-21,CO,Bogotá,wd,263,1.0,360.0,224.0,128171.00
2020-02-03,CO,Bogotá,wd,274,1.0,358.0,123.0,53658.10
2020-03-17,CO,Bogotá,wd,270,1.0,359.0,243.0,125890.00
2020-03-02,CO,Bogotá,wind gust,14,15.9,15.9,15.9,0.00
2020-03-27,CO,Bogotá,wind gust,28,12.3,12.3,12.3,0.00
2020-03-29,CO,Bogotá,wind gust,14,10.8,10.8,10.8,0.00
2020-01-08,CO,Bogotá,wind gust,14,8.7,8.7,8.7,0.00
2020-01-17,CO,Bogotá,wind gust,28,11.8,20.5,11.8,196.23
2020-01-19,CO,Bogotá,wind gust,28,8.2,9.2,8.2,2.59
2020-01-30,CO,Bogotá,wind gust,14,12.8,12.8,12.8,0.00
2020-02-08,CO,Bogotá,wind gust,14,7.7,7.7,7.7,0.00
2020-02-23,CO,Bogotá,pm10,327,4.0,72.0,25.0,1519.18
2020-03-24,CO,Bogotá,pm10,314,2.0,86.0,47.0,1525.59
2020-04-01,CO,Bogotá,pm10,330,5.0,79.0,25.0,1143.10
2019-12-30,CO,Bogotá,pm10,308,5.0,81.0,24.0,2760.72
2020-01-17,CO,Bogotá,pm10,328,2.0,90.0,10.0,1330.29
2020-01-21,CO,Bogotá,pm10,333,4.0,87.0,43.0,2140.09
2020-02-13,CO,Bogotá,pm10,309,13.0,180.0,46.0,3639.11
2020-03-03,CO,Bogotá,pm10,207,15.0,120.0,44.0,2394.10
2020-03-27,CO,Bogotá,pm10,328,17.0,86.0,44.0,1350.82
2020-04-03,CO,Bogotá,pm10,311,1.0,101.0,22.0,1750.83
2020-01-19,CO,Bogotá,pm10,336,2.0,77.0,12.0,954.78
2020-01-30,CO,Bogotá,pm10,311,10.0,107.0,34.0,2380.63
2020-02-10,CO,Bogotá,pm10,258,8.0,77.0,30.0,1916.53
2020-02-15,CO,Bogotá,pm10,312,7.0,187.0,25.0,2903.56
2020-02-18,CO,Bogotá,pm10,312,4.0,127.0,31.0,2689.45
2020-03-25,CO,Bogotá,pm10,326,10.0,66.0,37.0,1154.19
2020-02-03,CO,Bogotá,pm10,301,12.0,104.0,35.0,2489.16
2020-02-14,CO,Bogotá,pm10,310,12.0,81.0,36.0,2288.40
2020-01-02,CO,Bogotá,pm10,336,2.0,76.0,20.0,2058.88
2020-01-04,CO,Bogotá,pm10,334,9.0,97.0,38.0,2078.46
2020-01-09,CO,Bogotá,pm10,290,2.0,98.0,31.0,3452.27
2020-01-10,CO,Bogotá,pm10,313,1.0,78.0,28.0,2498.76
2020-01-18,CO,Bogotá,pm10,328,1.0,71.0,10.0,1407.79
